idx_epi : 0
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185639,R,"(9, 4)","(6, 6)",59,60,-100,True,ID_OBSTACLE

idx_epi : 20
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185639,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185639,R,"(9, 4)","(8, 5)",76,77,-0.01,False,ID_GENERAL_MOVE
220528_185639,U,"(9, 4)","(7, 5)",77,68,-0.01,False,ID_GENERAL_MOVE
220528_185639,L,"(9, 4)","(7, 4)",68,67,-0.01,False,ID_GENERAL_MOVE
220528_185639,U,"(9, 4)","(6, 4)",67,58,-100,True,ID_OBSTACLE

idx_epi : 21
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185639,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185639,L,"(9, 4)","(8, 3)",76,75,-0.01,False,ID_GENERAL_MOVE
220528_185639,U,"(9, 4)","(7, 3)",75,66,-0.01,False,ID_GENERAL_MOVE
220528_185639,L,"(9, 4)","(7, 2)",66,65,-0.01,False,ID_GENERAL_MOVE
220528_185639,L,"(9, 4)","(7, 1)",65,64,-0.01,False,ID_GENERAL_MOVE
220528_185639,U,"(9, 4)","(6, 1)",64,55,-0.01,False,ID_GENERAL_MOVE
220528_185639,L,"(9, 4)","(6, 0)",55,54,-0.01,False,ID_GENERAL_MOVE
220528_185639,L,"(9, 4)","(6, -1)",54,53,-100,True,ID_OUT_GRID

idx_epi : 22
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185639,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185639,D,"(9, 4)","(9, 4)",76,85,-100,True,ID_RETURN

idx_epi : 23
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185639,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185639,R,"(9, 4)","(8, 5)",76,77,-0.01,False,ID_GENERAL_MOVE
220528_185639,D,"(9, 4)","(9, 5)",77,86,-100,True,ID_OBSTACLE

idx_epi : 24
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185639,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185639,R,"(9, 4)","(8, 5)",76,77,-0.01,False,ID_GENERAL_MOVE
220528_185639,R,"(9, 4)","(8, 6)",77,78,-0.01,False,ID_GENERAL_MOVE
220528_185639,L,"(9, 4)","(8, 5)",78,77,-0.01,False,ID_GENERAL_MOVE
220528_185639,L,"(9, 4)","(8, 4)",77,76,-0.01,False,ID_GENERAL_MOVE
220528_185639,U,"(9, 4)","(7, 4)",76,67,-0.01,False,ID_GENERAL_MOVE
220528_185639,D,"(9, 4)","(8, 4)",67,76,-0.01,False,ID_GENERAL_MOVE
220528_185639,R,"(9, 4)","(8, 5)",76,77,-0.01,False,ID_GENERAL_MOVE
220528_185639,D,"(9, 4)","(9, 5)",77,86,-100,True,ID_OBSTACLE

idx_epi : 25
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185639,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185639,D,"(9, 4)","(9, 4)",76,85,-100,True,ID_RETURN

idx_epi : 26
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185639,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185639,R,"(9, 4)","(8, 5)",76,77,-0.01,False,ID_GENERAL_MOVE
220528_185639,D,"(9, 4)","(9, 5)",77,86,-100,True,ID_OBSTACLE

idx_epi : 27
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185640,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185640,U,"(9, 4)","(7, 4)",76,67,-0.01,False,ID_GENERAL_MOVE
220528_185640,L,"(9, 4)","(7, 3)",67,66,-0.01,False,ID_GENERAL_MOVE
220528_185640,U,"(9, 4)","(6, 3)",66,57,-0.01,False,ID_GENERAL_MOVE
220528_185640,U,"(9, 4)","(5, 3)",57,48,-0.01,False,ID_GENERAL_MOVE
220528_185640,U,"(9, 4)","(4, 3)",48,39,-0.01,False,ID_GENERAL_MOVE
220528_185640,R,"(9, 4)","(4, 4)",39,40,-100,True,ID_OBSTACLE

idx_epi : 28
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185640,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185640,R,"(9, 4)","(8, 5)",76,77,-0.01,False,ID_GENERAL_MOVE
220528_185640,R,"(9, 4)","(8, 6)",77,78,-0.01,False,ID_GENERAL_MOVE
220528_185640,D,"(9, 4)","(9, 6)",78,87,-100,True,ID_OBSTACLE

idx_epi : 29
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185640,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185640,D,"(9, 4)","(9, 4)",76,85,-100,True,ID_RETURN

idx_epi : 30
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185640,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185640,U,"(9, 4)","(7, 4)",76,67,-0.01,False,ID_GENERAL_MOVE
220528_185640,L,"(9, 4)","(7, 3)",67,66,-0.01,False,ID_GENERAL_MOVE
220528_185640,L,"(9, 4)","(7, 2)",66,65,-0.01,False,ID_GENERAL_MOVE
